<http://dbpedia.org/resource/Fiddler_on_the_Roof_(film)>,http://dbpedia.org/property/studio,<http://dbpedia.org/resource/United_Artists>,0.2,1971 in film
<http://dbpedia.org/resource/The_French_Connection_(film)>,http://dbpedia.org/property/distributor,<http://dbpedia.org/resource/20th_Century_Fox>,0.5,1971 in film
<http://dbpedia.org/resource/The_French_Connection_(film)>,http://dbpedia.org/property/studio,<http://dbpedia.org/resource/20th_Century_Fox>,0.2,1971 in film
<http://dbpedia.org/resource/Diamonds_Are_Forever_(film)>,http://dbpedia.org/property/distributor,United Artists,0.5,1971 in film
<http://dbpedia.org/resource/Diamonds_Are_Forever_(film)>,http://dbpedia.org/property/studio,United Artists,0.2,1971 in film
<http://dbpedia.org/resource/Diamonds_Are_Forever_(film)>,http://dbpedia.org/ontology/distributor,United Artists,0.5,1971 in film
<http://dbpedia.org/resource/Dirty_Harry>,http://dbpedia.org/property/studio,<http://dbpedia.org/resource/Warner_Bros.>,0.2,1971 in film
<http://dbpedia.org/resource/Billy_Jack>,http://dbpedia.org/property/distributor,Warner Bros.,0.5,1971 in film
<http://dbpedia.org/resource/Billy_Jack>,http://dbpedia.org/property/studio,Warner Bros.,0.2,1971 in film
<http://dbpedia.org/resource/Billy_Jack>,http://dbpedia.org/ontology/distributor,Warner Bros.,0.5,1971 in film
<http://dbpedia.org/resource/Summer_of_%2742>,http://dbpedia.org/property/distributor,Warner Bros.,0.5,1971 in film
<http://dbpedia.org/resource/Summer_of_%2742>,http://dbpedia.org/property/studio,Warner Bros.,0.2,1971 in film
<http://dbpedia.org/resource/Summer_of_%2742>,http://dbpedia.org/ontology/distributor,Warner Bros.,0.5,1971 in film
<http://dbpedia.org/resource/The_Last_Picture_Show>,http://dbpedia.org/property/studio,<http://dbpedia.org/resource/Columbia_Pictures>,0.2,1971 in film
<http://dbpedia.org/resource/A_Clockwork_Orange_(film)>,http://dbpedia.org/property/studio,Warner Bros.,0.2,1971 in film
<http://dbpedia.org/resource/A_Clockwork_Orange_(film)>,http://dbpedia.org/ontology/distributor,Warner Bros.,0.5,1971 in film
<http://dbpedia.org/resource/Bedknobs_and_Broomsticks>,http://dbpedia.org/property/distributor,<http://dbpedia.org/resource/Walt_Disney_Pictures>,0.5,1971 in film
<http://dbpedia.org/resource/Bedknobs_and_Broomsticks>,http://dbpedia.org/ontology/distributor,<http://dbpedia.org/resource/Walt_Disney_Pictures>,0.5,1971 in film
